

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 14 10:13:30 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:33.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260413.p260710
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-13. PREDICTS-> 2026-JUL-09
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461133.290659722, A.D. 2026-Apr-02 18:58:33.0000,  7.133011029721539E+03, -5.714749426445621E+04, -4.831773687378743E+03,  9.872879582469882E-01,  1.788852239625968E+00,  1.580001956864521E-01,
2461133.301076389, A.D. 2026-Apr-02 19:13:33.0000,  8.015186072131616E+03, -5.548892087258321E+04, -4.685464844807015E+03,  9.726195641530504E-01,  1.897795963560221E+00,  1.672071526182175E-01,
2461133.311493055, A.D. 2026-Apr-02 19:28:33.0000,  8.882789532591074E+03, -5.372968004191263E+04, -4.530654110719031E+03,  9.548252212810272E-01,  2.012682226853916E+00,  1.769034582872598E-01,
2461133.321909722, A.D. 2026-Apr-02 19:43:33.0000,  9.732770648473568E+03, -5.186406665908863E+04, -4.366871960577468E+03,  9.333567587906660E-01,  2.134327850108102E+00,  1.871557245087728E-01,
2461133.332326389, A.D. 2026-Apr-02 19:58:33.0000,  1.056152398989193E+04, -4.988557063204721E+04, -4.193583303066724E+03,  9.075229494848042E-01,  2.263711210764981E+00,  1.980435478664677E-01,
2461133.342743055, A.D. 2026-Apr-02 20:13:33.0000,  1.136473995671149E+04, -4.778671248957439E+04, -4.010174288295129E+03,  8.764405106783857E-01,  2.402016656360906E+00,  2.096630263544371E-01,
2461133.353159722, A.D. 2026-Apr-02 20:28:33.0000,  1.213720214524421E+04, -4.555883231867227E+04, -3.815935430314075E+03,  8.389635030036870E-01,  2.550694719076865E+00,  2.221315043503453E-01,
2461133.363576389, A.D. 2026-Apr-02 20:43:33.0000,  1.287250721020959E+04, -4.319181488657901E+04, -3.610039715590296E+03,  7.935791694506225E-01,  2.711545143778434E+00,  2.355940780495697E-01,
2461133.373993055, A.D. 2026-Apr-02 20:58:33.0000,  1.356266876940899E+04, -4.067372592222360E+04, -3.391513783414239E+03,  7.382502476462217E-01,  2.886833447255388E+00,  2.502324727727847E-01,
2461133.384409722, A.D. 2026-Apr-02 21:13:33.0000,  1.419765597571292E+04, -3.799035613028640E+04, -3.159323147001407E+03,  6.701498565339956E-01,  3.079456832136629E+00,  2.662837041730142E-01,
2461133.394826389, A.D. 2026-Apr-02 21:28:33.0000,  1.476409473991070E+04, -3.512442379273286E+04, -2.911851344145798E+03,  5.853656475638221E-01,  3.293183081477696E+00,  2.840032239746164E-01,
2461133.405243055, A.D. 2026-Apr-02 21:43:33.0000,  1.524457516775485E+04, -3.205480525438429E+04, -2.647487732909758E+03,  4.779872302441210E-01,  3.533048819172101E+00,  3.038615103493525E-01,
2461133.415659722, A.D. 2026-Apr-02 21:58:33.0000,  1.561509113398488E+04, -2.875507781952087E+04, -2.364111692656168E+03,  3.391712550735799E-01,  3.805861596160421E+00,  3.263560741293292E-01,
